dataset,location,weighting,T,year,C_old,C_recent,C_all,C_gate2,C_median,C_minimax,stack2_w_gate,stack3_n_arms,selector_disagreement
emerging_vwcap,emerging,vw_cap,60,2022,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
emerging_vwcap,emerging,vw_cap,60,2023,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
emerging_vwcap,emerging,vw_cap,60,2024,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
emerging_vwcap,emerging,vw_cap,60,2025,8.0,2.0,8.0,8.0,8.0,8.0,1.0,2,2.0
emerging_vwcap,emerging,vw_cap,120,2023,16.0,4.0,16.0,16.0,16.0,4.0,1.0,2,2.0
emerging_vwcap,emerging,vw_cap,120,2024,16.0,2.0,16.0,16.0,16.0,4.0,1.0,2,3.0
emerging_vwcap,emerging,vw_cap,120,2025,32.0,2.0,16.0,16.0,16.0,8.0,1.0,3,4.0
usa_vwcap,usa,vw_cap,60,2005,4.0,8.0,8.0,4.0,8.0,8.0,0.3927280923399262,2,1.0
usa_vwcap,usa,vw_cap,60,2006,4.0,16.0,8.0,4.0,8.0,8.0,0.31898665914432917,3,2.0
usa_vwcap,usa,vw_cap,60,2007,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2008,8.0,16.0,8.0,8.0,8.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2009,8.0,4.0,4.0,4.0,4.0,4.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2010,8.0,4.0,8.0,8.0,8.0,4.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2011,16.0,4.0,8.0,8.0,8.0,4.0,1.0,3,2.0
usa_vwcap,usa,vw_cap,60,2012,16.0,4.0,4.0,4.0,4.0,4.0,1.0,2,2.0
usa_vwcap,usa,vw_cap,60,2013,16.0,4.0,4.0,4.0,4.0,4.0,1.0,2,2.0
usa_vwcap,usa,vw_cap,60,2014,4.0,8.0,4.0,4.0,4.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2015,4.0,8.0,8.0,4.0,8.0,4.0,0.4730972199907036,2,1.0
usa_vwcap,usa,vw_cap,60,2016,4.0,8.0,4.0,4.0,4.0,4.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2017,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,60,2018,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,60,2019,8.0,4.0,4.0,4.0,4.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2020,8.0,4.0,4.0,4.0,4.0,4.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2021,8.0,2.0,4.0,4.0,4.0,4.0,1.0,3,2.0
usa_vwcap,usa,vw_cap,60,2022,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,60,2023,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2024,4.0,2.0,4.0,4.0,4.0,2.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,60,2025,4.0,1.0,2.0,2.0,2.0,1.0,1.0,3,2.0
usa_vwcap,usa,vw_cap,120,2005,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2006,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2007,8.0,32.0,8.0,8.0,8.0,16.0,1.0,2,2.0
usa_vwcap,usa,vw_cap,120,2008,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2009,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,120,2010,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2011,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2012,32.0,8.0,16.0,16.0,16.0,8.0,1.0,3,2.0
usa_vwcap,usa,vw_cap,120,2013,16.0,8.0,16.0,16.0,16.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2014,8.0,16.0,16.0,8.0,16.0,16.0,0.2567690766509401,2,1.0
usa_vwcap,usa,vw_cap,120,2015,8.0,16.0,16.0,8.0,16.0,16.0,0.0,2,1.0
usa_vwcap,usa,vw_cap,120,2016,8.0,32.0,16.0,8.0,16.0,8.0,0.45196250945292343,3,2.0
usa_vwcap,usa,vw_cap,120,2017,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,120,2018,8.0,16.0,16.0,8.0,16.0,8.0,0.42687694738531495,2,1.0
usa_vwcap,usa,vw_cap,120,2019,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,120,2020,16.0,8.0,16.0,16.0,16.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,120,2021,32.0,8.0,8.0,8.0,8.0,16.0,1.0,2,2.0
usa_vwcap,usa,vw_cap,120,2022,8.0,16.0,16.0,8.0,16.0,8.0,0.35842780412714303,2,1.0
usa_vwcap,usa,vw_cap,120,2023,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,120,2024,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,120,2025,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2005,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2006,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2007,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2008,8.0,32.0,8.0,8.0,8.0,8.0,1.0,2,2.0
usa_vwcap,usa,vw_cap,240,2009,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2010,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2011,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2012,8.0,16.0,8.0,8.0,8.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2013,32.0,16.0,16.0,16.0,16.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2014,16.0,32.0,16.0,16.0,16.0,32.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2015,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2016,16.0,32.0,16.0,16.0,16.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2017,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2018,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2019,32.0,16.0,16.0,16.0,16.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2020,32.0,16.0,16.0,16.0,16.0,16.0,1.0,2,1.0
usa_vwcap,usa,vw_cap,240,2021,32.0,8.0,16.0,16.0,16.0,8.0,1.0,3,2.0
usa_vwcap,usa,vw_cap,240,2022,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2023,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2024,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
usa_vwcap,usa,vw_cap,240,2025,16.0,16.0,16.0,16.0,16.0,16.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2005,4.0,8.0,8.0,4.0,8.0,8.0,0.49459751657909046,2,1.0
gbr_vwcap,gbr,vw_cap,60,2006,4.0,16.0,8.0,4.0,8.0,4.0,0.46826864762856385,3,2.0
gbr_vwcap,gbr,vw_cap,60,2007,4.0,16.0,4.0,4.0,4.0,4.0,1.0,2,2.0
gbr_vwcap,gbr,vw_cap,60,2008,4.0,8.0,4.0,4.0,4.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,60,2009,4.0,8.0,4.0,4.0,4.0,4.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,60,2010,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
gbr_vwcap,gbr,vw_cap,60,2011,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,60,2012,16.0,8.0,8.0,8.0,8.0,8.0,1.0,2,1.0
gbr_vwcap,gbr,vw_cap,60,2013,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1,0.0
