model,budget,selected,validation_sharpe,validation_loss,test_sharpe,test_loss,mean_C,mean_lambda,mean_IS_Sharpe
drop_state_investment,2.0,False,0.6823387129554889,0.9627561972325563,0.5401483394380927,0.9911889314016894,2.0,0.06766006248655987,1.834974192776037
drop_state_investment,4.0,False,0.67162547007583,0.932606119237905,0.5942110303828156,0.9837941212760369,4.0,0.029698916048155406,2.012058239761855
drop_state_investment,8.0,False,0.6635352808543717,0.8923004577682664,0.6595039848799114,0.9726650841199419,8.0,0.01174541282990793,2.3636300145935314
drop_state_investment,12.0,False,0.6531035486742726,0.8687081390636313,0.6818470700902867,0.9650231245464379,12.0,0.006360936740893645,2.719235044721077
drop_state_investment,16.0,False,0.6469151055920153,0.8542288633466638,0.6794527484350285,0.9593357802932746,16.0,0.003955365292648246,3.049519997309166
drop_state_investment,24.0,False,0.6504089829792356,0.8381473058831221,0.6652554766638851,0.9508305132824804,24.0,0.001894104670710917,3.7161163501026278
drop_state_investment,32.0,False,0.6658863714752873,0.8289081926523498,0.6732357243012327,0.9451004882927221,32.0,0.001059372156675965,4.4033844749794016
drop_state_investment,48.0,False,0.6795147746079965,0.816416484162725,0.7152553691677029,0.9444542966895602,48.0,0.0004127217713666586,6.1352530249908135
drop_state_investment,64.0,False,0.6605341871216628,0.8109653802018049,0.7302368831264724,0.960618556834667,64.0,0.0001820515314248728,8.493008052114131
drop_state_investment,96.0,False,0.5813353627211986,0.8434968266667265,0.7203041797304615,1.0464331045155475,96.0,3.2406391845581205e-05,20.3665302222059
drop_state_investment,118.0,False,0.5170480532216171,0.9170256434973189,0.6609170169593546,1.1835285218253246,118.0,1.6345483809774148e-06,227.01760244063743
drop_state_momentum,0.5,False,0.6436693562381144,0.9906481660129167,0.4705697328163441,0.9974177121016987,0.5,0.30075526501505706,1.688371905807816
drop_state_momentum,1.0,False,0.6467834880653556,0.9815815159355826,0.4907188158956385,0.9949532196894562,1.0,0.14525458148066608,1.7364157015881967
drop_state_momentum,2.0,False,0.6486813085849419,0.964571712040749,0.527975998552682,0.9903509850085017,2.0,0.06790156358359195,1.829826848082589
drop_state_momentum,4.0,False,0.6371055475676564,0.9357489328222165,0.5904828314600782,0.98237974303995,4.0,0.029902558458757146,1.9959771858083633
drop_state_momentum,8.0,False,0.6186031506700579,0.8958465769076845,0.6545128941555441,0.9707697611039158,8.0,0.011891919851818773,2.3423805727160514
drop_state_momentum,12.0,False,0.612762653595942,0.8713784074258563,0.6875769479624679,0.9632378351908254,12.0,0.0064673618933650525,2.703968591935332
drop_state_momentum,16.0,False,0.6145967552116518,0.8559103172969774,0.6915411637964093,0.9579729646401401,16.0,0.004032953605425159,3.0351314964588805
drop_state_momentum,24.0,False,0.6408474304602755,0.8388658047241804,0.6661164931042006,0.9505797748372393,24.0,0.0019361344010493814,3.6870464897021087
drop_state_momentum,32.0,False,0.6665164724690966,0.8300289875164367,0.6661106180703024,0.9458328643330721,32.0,0.001083186996772905,4.352696044966541
drop_state_momentum,48.0,True,0.6755332824000716,0.8198431321916547,0.7067966104535324,0.9470008208985394,48.0,0.0004214992575783002,6.032308996829917
drop_state_momentum,64.0,False,0.6617628366580761,0.8160259500061673,0.7123805519174344,0.9667084163590643,64.0,0.00018567917101184535,8.348224852576818
drop_state_momentum,96.0,False,0.5985782516179486,0.8487040109334762,0.6772102598128749,1.0707751914809867,96.0,3.2991406561170095e-05,20.09774325019223
drop_state_momentum,118.0,False,0.5513942455449831,0.9202405042268811,0.622400611495595,1.2314617417499008,118.0,1.6616911513061953e-06,226.6480725816647
drop_state_new,0.5,False,0.6401971984893915,0.9907205258558418,0.452625131845546,0.9973962854856344,0.5,0.3003328302913947,1.6740493954623037
drop_state_new,1.0,False,0.6409314271672473,0.981724258867123,0.47136564587872787,0.9948938184203254,1.0,0.1448550548094889,1.7196167668867628
drop_state_new,2.0,False,0.6414602651292464,0.9648410178457929,0.5079920612983981,0.9901739668625882,2.0,0.06754478878622412,1.8050786177584905
drop_state_new,4.0,False,0.6364802344390477,0.936144639183342,0.5751922830305872,0.9818710909150513,4.0,0.029617315740663494,1.995596334147685
drop_state_new,8.0,False,0.6368255073837856,0.8957750634139431,0.6488806275952443,0.9695685852512803,8.0,0.011702052784883432,2.371789790844864
drop_state_new,12.0,False,0.6445416409495406,0.8700456566222032,0.687429471269926,0.9614650472752507,12.0,0.006333601688484716,2.7307614693571773
