year,window,group,tune_end,confirmation_end,selected_grid_C_extra,training_total_C,confirmation_loss_gain,simultaneous_lower_bound
2020,60,momentum,2014-12-31,2019-12-31,0.0,3.0,9.251858538542971e-19,-0.13067781953982807
2020,60,new,2014-12-31,2019-12-31,0.0,3.0,9.251858538542971e-19,-0.13067781953982807
2020,60,profitability,2014-12-31,2019-12-31,2.0,5.0,-0.013090904573713265,-0.14376872411354136
2020,60,trading_frictions,2014-12-31,2019-12-31,0.0,3.0,9.251858538542971e-19,-0.13067781953982807
2020,60,value,2014-12-31,2019-12-31,4.0,7.0,-0.04603230616192789,-0.17671012570175595
2020,60,all_extensions,2014-12-31,2019-12-31,8.0,11.0,0.031467017866445755,-0.09921080167338231
2021,60,intangibles,2015-12-31,2020-12-31,4.0,7.0,0.021028716878984013,-0.17505819006670287
2021,60,investment,2015-12-31,2020-12-31,2.0,5.0,0.05071752801415566,-0.14536937893153123
2021,60,momentum,2015-12-31,2020-12-31,0.0,3.0,2.3707887505016364e-18,-0.1960869069456869
2021,60,new,2015-12-31,2020-12-31,0.0,3.0,2.3707887505016364e-18,-0.1960869069456869
2021,60,profitability,2015-12-31,2020-12-31,2.0,5.0,0.003939718198195507,-0.1921471887474914
2021,60,trading_frictions,2015-12-31,2020-12-31,0.0,3.0,2.3707887505016364e-18,-0.1960869069456869
2021,60,value,2015-12-31,2020-12-31,4.0,7.0,-0.1144644454391925,-0.3105513523848794
2021,60,all_extensions,2015-12-31,2020-12-31,16.0,19.0,-0.20451947524255362,-0.4006063821882406
2022,60,intangibles,2016-12-31,2021-12-31,4.0,7.0,0.025869323902168232,-0.10629526723959842
2022,60,investment,2016-12-31,2021-12-31,2.0,5.0,-0.0074322541587133195,-0.13959684530047992
2022,60,momentum,2016-12-31,2021-12-31,0.0,3.0,2.3707887505016364e-18,-0.13216459114176662
2022,60,new,2016-12-31,2021-12-31,0.0,3.0,2.3707887505016364e-18,-0.13216459114176662
2022,60,profitability,2016-12-31,2021-12-31,1.0,4.0,0.010230962255250749,-0.12193362888651588
2022,60,trading_frictions,2016-12-31,2021-12-31,0.0,3.0,2.3707887505016364e-18,-0.13216459114176662
2022,60,value,2016-12-31,2021-12-31,4.0,7.0,-0.0950667298110068,-0.2272313209527734
